"","KommuneNavn","Salgsaar","Areal_Bolig","Salgstid","Pris_Salg","Areal_Grund","StorGrund","Dist_skole","Dist_raadhus","Alder","AntalFremvisninger","Areal_GarageCarport","Ejd_AntalPlan"
"29","Aarhus",2015,134.350210970464,201.675105485232,2907810.39873418,1214.78691983122,0.0316455696202532,0.86462201506299,6.58487530028693,37.6392405063291,9.31012658227848,19.9978902953587,1.12658227848101
"30","Aarhus",2016,134.137524557957,199.83300589391,2994732.34941061,1398.00392927308,0.0451866404715128,0.888990228709351,6.94005839847622,34.5834970530452,7.3713163064833,20.5992141453831,1.03929273084479
"31","Aarhus",2017,137.458574181118,177.394990366089,3214270.75722543,1780.59922928709,0.0500963391136802,0.91846703655418,6.91615197648986,33.9364161849711,7.1888246628131,20.5337186897881,1.23892100192678
"32","Aarhus",2018,138.785862785863,204.172557172557,3430561.04719335,1337.48648648649,0.0415800415800416,0.908551514971647,6.65719091020793,37.5488565488565,7.61538461538461,21.7484407484407,1.16839916839917
"33","Aarhus",2019,130.593320235756,231.449901768173,3232168.50491159,1507.55402750491,0.068762278978389,0.862240972753044,6.59180964128682,38.8192534381139,7.60707269155206,18.3202357563851,0.907662082514735
"34","Aarhus",2020,122.473529411765,161.376470588235,3260221.69117647,1864.61323529412,0.102941176470588,0.865263078376786,6.08209401405179,41.0426470588235,9.42058823529412,17.0397058823529,0.541176470588235
"35","Aarhus",2021,112.183400267738,139.037483266399,3414247.49129853,1911.35876840696,0.175368139223561,0.832914620733241,5.1654792600041,42.4163319946452,9.36144578313253,13.2382864792503,0.36813922356091
"36","Aarhus",2022,114.750750750751,150.189189189189,3475219.78978979,1537.36036036036,0.144144144144144,0.823572422396458,5.17361055791589,42.5555555555556,8.54054054054054,14.8828828828829,0.381381381381381
"37","Albertslund",2011,127.8125,111.0625,2083437.5,434.125,0,0.580755228969126,1.4915929673571,35.8125,5.6875,7.0625,1.1875
"38","Albertslund",2012,118.655172413793,154.310344827586,2005965.03448276,460.862068965517,0.0344827586206897,0.516880665159826,1.67545991359467,44.7241379310345,12.0689655172414,7.82758620689655,1.48275862068966
"39","Albertslund",2013,121.407407407407,127.037037037037,1923333.33333333,398.888888888889,0,0.557073272168686,1.53298136325867,54.9259259259259,7.18518518518519,4.2962962962963,1.7037037037037
"40","Albertslund",2014,141.222222222222,212.111111111111,1968666.66666667,532.333333333333,0,0.573546561927294,1.17323232781087,65.5,9.88888888888889,6.83333333333333,1.5
"41","Albertslund",2015,123.444444444444,166.111111111111,2410291.7037037,901.666666666667,0.037037037037037,0.601989547562992,1.83506917712901,33.2222222222222,11.5925925925926,10.0740740740741,1.11111111111111
"42","Albertslund",2016,123.838709677419,148.870967741935,2471903.22580645,369.967741935484,0,0.588920894549915,1.69368270987702,35.5806451612903,11,9.51612903225806,1
"43","Albertslund",2017,133.6,143,2725366.66666667,388,0,0.56855988896793,1.74286133016435,40.4,10.2333333333333,9.56666666666667,1.66666666666667
"44","Albertslund",2018,121.285714285714,175.885714285714,2687742.85714286,344.428571428571,0,0.567011800359004,1.55338357628897,35.3428571428571,10.7142857142857,7.94285714285714,1.71428571428571
"45","Albertslund",2019,119.351351351351,173.702702702703,2763770.27027027,339.648648648649,0,0.568273766932173,1.72048574784436,39.5405405405405,9.83783783783784,8.7027027027027,1.51351351351351
"46","Albertslund",2020,114.125,155.3125,2626406.21875,2294.78125,0.03125,0.579662987123988,1.56750705521719,42.6875,17.84375,4.09375,1.59375
"47","Albertslund",2021,100.111111111111,121.037037037037,2471888.85185185,21958.4814814815,0.37037037037037,0.429238711222777,1.58516326218869,47.4074074074074,14.2592592592593,3,1.11111111111111
"48","Albertslund",2022,118.933333333333,114.466666666667,3154333.33333333,1142,0.133333333333333,0.626279974338957,1.51691456234714,44.9333333333333,13.8666666666667,4.53333333333333,1.6
"49","Allerød",2011,141.8,104.133333333333,3149166.66666667,5016.33333333333,0.266666666666667,0.759085938756994,1.94980161407204,34.2,3.46666666666667,19.2666666666667,1.13333333333333
"50","Allerød",2012,142.653846153846,174.692307692308,2824038.46153846,3228,0.192307692307692,0.855082811169041,1.67774539419692,29.6538461538462,4.73076923076923,18.7307692307692,1.15384615384615
"51","Allerød",2013,142.529411764706,189.264705882353,2783580.88235294,2841.55882352941,0.0588235294117647,0.725093406712643,1.76109885313522,30.2941176470588,5.58823529411765,18.9117647058824,1.08823529411765
"52","Allerød",2014,142.744186046512,196.93023255814,2883488.37209302,1469.88372093023,0.0697674418604651,0.729591734486283,1.97240631349353,32.1162790697674,6.46511627906977,18.2558139534884,1.16279069767442
"53","Allerød",2015,146.4375,167.8125,3052989.58333333,1495.33333333333,0.0833333333333333,0.75678316486859,1.95386938390646,30.7708333333333,6.45833333333333,17.4791666666667,1.08333333333333
"54","Allerød",2016,134.240740740741,206.296296296296,3157166.66666667,1330.22222222222,0.0740740740740741,0.726484637767499,1.66247207832042,35.6296296296296,5.88888888888889,14.7592592592593,1.12962962962963
"55","Allerød",2017,139.811320754717,189.849056603774,3272358.49056604,709.566037735849,0.0566037735849057,0.684273766352991,1.70297139750967,30.6415094339623,5.32075471698113,17.811320754717,1.13207547169811
"56","Allerød",2018,151.146341463415,207.463414634146,3731341.46341463,1449.9756097561,0.0975609756097561,0.777892141682794,2.10473896154507,28.6341463414634,5.70731707317073,17.8536585365854,1.21951219512195
"57","Allerød",2019,145.760869565217,160.478260869565,3893021.73913043,1764.04347826087,0.0869565217391304,0.743971232684753,2.18554879313405,32.4347826086956,5.60869565217391,17.4347826086957,1
"58","Allerød",2020,131.486486486486,163.405405405405,3680270.27027027,3616,0.162162162162162,0.674356397668971,2.1294911463131,41.4324324324324,7.89189189189189,24.0540540540541,1.10810810810811
"59","Allerød",2021,154.863636363636,152.590909090909,4308272.72727273,2371.77272727273,0.227272727272727,0.773018989985672,2.56992064922791,53.7272727272727,11.7272727272727,23.3181818181818,1
"60","Allerød",2022,131.25,124.125,4422500,582.75,0,0.607653043518971,1.23624797304671,43.875,6.875,16.25,1.125
"61","Assens",2011,123.903225806452,75.6774193548387,998387.096774194,1452.51612903226,0.161290322580645,1.72184728141749,11.3477687361723,51.4516129032258,4.38709677419355,18.7741935483871,0.67741935483871
